CODPROD,NUMPOL,FECINIVIG,MTOOPER,CODPLAN,Mes
AUKM,567,2025-02-07 0:00:00,774.93,2 MIL KM,2
AUKM,566,2025-02-07 0:00:00,1945.84,4 MIL KM,2
AUKM,1652,2025-02-07 0:00:00,1495.25,6 MIL KM,2
AUKM,1343,2025-02-08 0:00:00,1201.19,2 MIL KM,2
AUKM,583,2025-02-08 0:00:00,765.93,2 MIL KM,2
AUKM,689,2025-02-08 0:00:00,765.93,2 MIL KM,2
AUKM,1655,2025-02-08 0:00:00,2426.93,4 MIL KM,2
AUKM,1653,2025-02-08 0:00:00,2126.78,6 MIL KM,2
AUKM,1659,2025-02-09 0:00:00,443.33,2 MIL KM,2
AUKM,1660,2025-02-09 0:00:00,1427.66,2 MIL KM,2
AUKM,1658,2025-02-09 0:00:00,2960.69,4 MIL KM,2
AUKM,941,2025-02-12 0:00:00,673.17,2 MIL KM,2
AUKM,1664,2025-02-12 0:00:00,601.67,2 MIL KM,2
AUKM,1665,2025-02-12 0:00:00,844.95,2 MIL KM,2
AUKM,1666,2025-02-12 0:00:00,565.92,2 MIL KM,2
AUKM,1668,2025-02-12 0:00:00,1489.83,2 MIL KM,2
AUKM,589,2025-02-12 0:00:00,2681.51,4 MIL KM,2
AUKM,586,2025-02-12 0:00:00,1066.67,4 MIL KM,2
AUKM,1667,2025-02-12 0:00:00,3352.28,6 MIL KM,2
AUKM,1669,2025-02-12 0:00:00,3179.76,6 MIL KM,2
AUKM,1672,2025-02-13 0:00:00,886.68,4 MIL KM,2
AUKM,587,2025-02-13 0:00:00,2933.52,6 MIL KM,2
AUKM,1671,2025-02-13 0:00:00,1736.78,6 MIL KM,2
AUKM,632,2025-02-14 0:00:00,669.92,2 MIL KM,2
AUKM,687,2025-02-14 0:00:00,662.72,2 MIL KM,2
AUKM,848,2025-02-14 0:00:00,803.72,2 MIL KM,2
AUKM,1677,2025-02-14 0:00:00,1117.42,2 MIL KM,2
AUKM,1422,2025-02-14 0:00:00,1457.45,4 MIL KM,2
AUTO,461396,2025-02-14 0:00:00,4089.55,Todo Riesgo,2
AUKM,1086,2025-02-15 0:00:00,781.53,2 MIL KM,2
AUKM,611,2025-02-15 0:00:00,2818.87,6 MIL KM,2
AUKM,1680,2025-02-16 0:00:00,819.92,2 MIL KM,2
AUKM,1682,2025-02-16 0:00:00,1117.42,2 MIL KM,2
AUKM,1684,2025-02-16 0:00:00,583.8,2 MIL KM,2
AUKM,1683,2025-02-16 0:00:00,3119.78,6 MIL KM,2
AUKM,600,2025-02-17 0:00:00,601.67,2 MIL KM,2
AUKM,604,2025-02-18 0:00:00,1257.02,2 MIL KM,2
AUKM,599,2025-02-18 0:00:00,609.92,2 MIL KM,2
AUKM,582,2025-02-18 0:00:00,544.47,2 MIL KM,2
AUKM,1688,2025-02-18 0:00:00,1549.86,4 MIL KM,2
AUKM,507,2025-02-18 0:00:00,1066.67,4 MIL KM,2
AUKM,1697,2025-02-18 0:00:00,1697.78,6 MIL KM,2
AUKM,1698,2025-02-19 0:00:00,998.5,2 MIL KM,2
AUKM,1699,2025-02-19 0:00:00,961.65,2 MIL KM,2
AUKM,1705,2025-02-19 0:00:00,1200.01,MOTO 3MIL KM,2
AUKM,1700,2025-02-20 0:00:00,912.52,2 MIL KM,2
AUKM,615,2025-02-20 0:00:00,694.62,2 MIL KM,2
AUKM,610,2025-02-20 0:00:00,533.34,2 MIL KM,2
AUKM,614,2025-02-20 0:00:00,533.34,2 MIL KM,2
AUKM,1325,2025-02-20 0:00:00,2569.84,4 MIL KM,2
AUTO,461679,2025-02-20 0:00:00,3452.68,Todo Riesgo,2
AUKM,1707,2025-02-21 0:00:00,494.51,2 MIL KM,2
AUKM,1706,2025-02-21 0:00:00,1103.26,4 MIL KM,2
AUKM,1708,2025-02-21 0:00:00,1800,MOTO 6MIL KM,2
AUTO,504442,2025-02-21 0:00:00,3461.55,Todo Riesgo,2
AUKM,1709,2025-02-22 0:00:00,443.33,2 MIL KM,2
AUKM,1710,2025-02-22 0:00:00,520.51,2 MIL KM,2
AUKM,625,2025-02-23 0:00:00,1611.95,2 MIL KM,2
AUKM,288,2025-02-23 0:00:00,2279.77,6 MIL KM,2
AUTO,461882,2025-02-23 0:00:00,3360.01,Todo Riesgo,2
AUKM,1715,2025-02-24 0:00:00,1200.01,MOTO 3MIL KM,2
AUKM,1713,2025-02-25 0:00:00,551.62,2 MIL KM,2
AUKM,578,2025-02-25 0:00:00,533.34,2 MIL KM,2
AUKM,1716,2025-02-26 0:00:00,604.92,2 MIL KM,2
AUKM,1717,2025-02-26 0:00:00,443.33,2 MIL KM,2
AUKM,1249,2025-02-26 0:00:00,596.72,2 MIL KM,2
AUKM,619,2025-02-26 0:00:00,539.92,2 MIL KM,2
AUKM,626,2025-02-26 0:00:00,1726.76,4 MIL KM,2
AUTO,482070,2025-02-26 0:00:00,3450,Todo Riesgo,2
AUKM,1721,2025-02-27 0:00:00,1090.64,2 MIL KM,2
AUKM,1722,2025-02-27 0:00:00,741.92,2 MIL KM,2
AUKM,1723,2025-02-28 0:00:00,886.68,4 MIL KM,2
AUKM,697,2025-02-28 0:00:00,1066.67,4 MIL KM,2
AUKM,1725,2025-03-01 0:00:00,498.41,2 MIL KM,3
AUKM,941,2025-03-02 0:00:00,673.17,2 MIL KM,3
AUKM,620,2025-03-04 0:00:00,533.34,2 MIL KM,3
AUKM,584,2025-03-04 0:00:00,2404.13,4 MIL KM,3
AUTO,505068,2025-03-04 0:00:00,4259.05,Todo Riesgo,3
AUKM,1729,2025-03-05 0:00:00,863.38,2 MIL KM,3
AUKM,1730,2025-03-05 0:00:00,512.71,2 MIL KM,3
AUKM,1731,2025-03-05 0:00:00,443.33,2 MIL KM,3
AUKM,1732,2025-03-05 0:00:00,693.74,2 MIL KM,3
AUKM,1733,2025-03-05 0:00:00,1655.65,2 MIL KM,3
AUKM,1734,2025-03-05 0:00:00,949.92,2 MIL KM,3
AUTO,505065,2025-03-05 0:00:00,3200,Todo Riesgo,3
AUKM,1735,2025-03-06 0:00:00,1160.46,4 MIL KM,3
AUKM,1736,2025-03-07 0:00:00,609.92,2 MIL KM,3
AUKM,1120,2025-03-07 0:00:00,533.34,2 MIL KM,3
AUKM,1738,2025-03-07 0:00:00,2290.69,4 MIL KM,3
AUKM,1739,2025-03-07 0:00:00,1800.01,MOTO 6MIL KM,3
AUTO,462511,2025-03-07 0:00:00,4489.15,Todo Riesgo,3
AUKM,1743,2025-03-09 0:00:00,481.51,2 MIL KM,3
AUKM,1744,2025-03-09 0:00:00,443.33,2 MIL KM,3
AUKM,1307,2025-03-09 0:00:00,714.93,2 MIL KM,3
AUKM,659,2025-03-09 0:00:00,1079.86,4 MIL KM,3
AUKM,657,2025-03-09 0:00:00,1079.86,4 MIL KM,3
AUKM,650,2025-03-09 0:00:00,2067.34,4 MIL KM,3
AUKM,656,2025-03-09 0:00:00,1087.86,4 MIL KM,3
AUKM,648,2025-03-09 0:00:00,1619.77,6 MIL KM,3
AUKM,688,2025-03-09 0:00:00,2027.77,6 MIL KM,3
AUKM,552,2025-03-10 0:00:00,533.34,2 MIL KM,3
AUKM,1379,2025-03-10 0:00:00,1806.99,2 MIL KM,3
AUTO,462745,2025-03-10 0:00:00,3450,Todo Riesgo,3
AUKM,944,2025-03-11 0:00:00,481.51,2 MIL KM,3
AUKM,660,2025-03-11 0:00:00,873.93,2 MIL KM,3
AUKM,1751,2025-03-11 0:00:00,1087.86,4 MIL KM,3
AUKM,1100,2025-03-12 0:00:00,604.92,2 MIL KM,3
AUKM,1755,2025-03-12 0:00:00,1074.66,4 MIL KM,3
AUKM,628,2025-03-12 0:00:00,2279.77,6 MIL KM,3
AUKM,1758,2025-03-13 0:00:00,539.92,2 MIL KM,3
AUKM,1761,2025-03-13 0:00:00,443.33,2 MIL KM,3
AUKM,1762,2025-03-13 0:00:00,552.92,2 MIL KM,3
AUKM,680,2025-03-13 0:00:00,1351.86,4 MIL KM,3
AUKM,1760,2025-03-13 0:00:00,886.68,4 MIL KM,3
AUTO,505814,2025-03-13 0:00:00,3299.55,Todo Riesgo,3
AUKM,1765,2025-03-14 0:00:00,527.01,2 MIL KM,3
AUKM,1763,2025-03-14 0:00:00,4658.03,4 MIL KM,3
AUKM,653,2025-03-14 0:00:00,2635.73,4 MIL KM,3
AUKM,1768,2025-03-15 0:00:00,604.92,2 MIL KM,3
AUKM,1769,2025-03-15 0:00:00,443.33,2 MIL KM,3
AUKM,1770,2025-03-15 0:00:00,443.33,2 MIL KM,3
AUKM,1771,2025-03-15 0:00:00,443.33,2 MIL KM,3
AUKM,683,2025-03-15 0:00:00,591.92,2 MIL KM,3
AUKM,1779,2025-03-15 0:00:00,443.33,2 MIL KM,3
AUKM,674,2025-03-15 0:00:00,5647.31,4 MIL KM,3
AUKM,1767,2025-03-15 0:00:00,3311.33,4 MIL KM,3
AUTO,483546,2025-03-15 0:00:00,3450,Todo Riesgo,3
AUKM,1782,2025-03-16 0:00:00,455.51,2 MIL KM,3
AUKM,327,2025-03-16 0:00:00,533.34,2 MIL KM,3
AUKM,675,2025-03-16 0:00:00,1066.67,4 MIL KM,3
AUKM,1781,2025-03-16 0:00:00,2557.86,4 MIL KM,3
AUKM,1784,2025-03-18 0:00:00,443.33,2 MIL KM,3
AUKM,1785,2025-03-18 0:00:00,1000.17,2 MIL KM,3
AUKM,1786,2025-03-18 0:00:00,539.92,2 MIL KM,3
AUKM,1787,2025-03-18 0:00:00,699.92,2 MIL KM,3
AUKM,1788,2025-03-18 0:00:00,783.92,2 MIL KM,3
AUKM,1789,2025-03-18 0:00:00,481.51,2 MIL KM,3
AUKM,1790,2025-03-18 0:00:00,735.92,2 MIL KM,3
AUKM,159,2025-03-18 0:00:00,1600,6 MIL KM,3
AUKM,850,2025-03-19 0:00:00,533.34,2 MIL KM,3
AUKM,1794,2025-03-19 0:00:00,1608.75,2 MIL KM,3
AUKM,1795,2025-03-19 0:00:00,481.51,2 MIL KM,3
AUKM,1796,2025-03-19 0:00:00,443.33,2 MIL KM,3
AUKM,1798,2025-03-19 0:00:00,443.33,2 MIL KM,3
AUKM,627,2025-03-19 0:00:00,1600,6 MIL KM,3
AUKM,1797,2025-03-19 0:00:00,1330.01,6 MIL KM,3
AUKM,701,2025-03-20 0:00:00,702.33,2 MIL KM,3
AUKM,1799,2025-03-20 0:00:00,1721.46,4 MIL KM,3
AUKM,1800,2025-03-20 0:00:00,2692.54,4 MIL KM,3
AUKM,1802,2025-03-20 0:00:00,1339.86,4 MIL KM,3
AUKM,1803,2025-03-20 0:00:00,1935.59,4 MIL KM,3
AUKM,1804,2025-03-20 0:00:00,4859.03,4 MIL KM,3
AUKM,679,2025-03-20 0:00:00,3851.76,4 MIL KM,3
AUTO,506465,2025-03-20 0:00:00,9997,Todo Riesgo,3
AUKM,1806,2025-03-21 0:00:00,572.42,2 MIL KM,3
AUKM,1807,2025-03-21 0:00:00,1016.92,2 MIL KM,3
AUKM,1808,2025-03-22 0:00:00,604.92,2 MIL KM,3
AUKM,1809,2025-03-22 0:00:00,636.32,2 MIL KM,3
AUTO,506500,2025-03-22 0:00:00,5448.3,Todo Riesgo,3
AUKM,1317,2025-03-23 0:00:00,533.34,2 MIL KM,3
AUKM,1812,2025-03-23 0:00:00,498.41,2 MIL KM,3
AUKM,1814,2025-03-25 0:00:00,455.51,2 MIL KM,3
AUKM,1813,2025-03-25 0:00:00,2684.88,4 MIL KM,3
AUTO,506636,2025-03-25 0:00:00,4913.13,Todo Riesgo,3
AUKM,1817,2025-03-26 0:00:00,539.92,2 MIL KM,3
AUKM,1815,2025-03-26 0:00:00,1960.16,4 MIL KM,3
AUKM,1816,2025-03-26 0:00:00,5203.91,6 MIL KM,3
AUKM,1818,2025-03-27 0:00:00,774.92,2 MIL KM,3
AUKM,1822,2025-03-27 0:00:00,973.93,2 MIL KM,3
